C/H,Mg/H,Si/H,O/H,Fe/H,S/H,He/H,N/H,mass,name
0.0001614134007898731,1.5776016641414025e-05,1.7296141043600236e-05,0.00026180191348996665,1e-05,6.42646385118047e-06,0.07960624203815223,4.2463984611772665e-05,0.5,0
0.0001710570644218401,1.672097792037977e-05,1.832725103755845e-05,0.0002774341822566836,1.0826367338740546e-05,6.809135460135315e-06,0.07964659812619393,4.500141352969825e-05,0.5,1
0.00018134889663890452,1.7716083957662855e-05,1.942502668019488e-05,0.0002940644820712198,1.1721022975334803e-05,7.218176745084637e-06,0.0796896029399552,4.768795785052454e-05,0.5,2
0.0001921216601636727,1.8774506054111603e-05,2.058527904429298e-05,0.00031161631194242113,1.2689610031679222e-05,7.648485355784879e-06,0.07973504218903395,5.0535529808741925e-05,0.5,3
0.00020361607398107333,1.9901308609459474e-05,2.1817024966287912e-05,0.00033024077465412804,1.373823795883263e-05,8.105903485018302e-06,0.07978342053389867,5.355734373360172e-05,0.5,4
0.0002157829762537083,2.108722500580036e-05,2.3120577803745194e-05,0.00034994617028843186,1.4873521072935115e-05,8.589862729509514e-06,0.07983470728736283,5.6748542237444174e-05,0.5,5
0.0002286684178650603,2.2346070635038043e-05,2.450389680613485e-05,0.00037084659781628853,1.610262027560939e-05,9.104127464274947e-06,0.07988922000711564,6.014988647147364e-05,0.5,6
0.00024233308217172134,2.3680143134692467e-05,2.59663339583487e-05,0.0003930067103705652,1.743328822199988e-05,9.646516314726549e-06,0.0799471021888194,6.373681656743518e-05,0.5,7
0.00025680382496678884,2.5094464408539867e-05,2.7517709478453544e-05,0.00041649629502090455,1.887391822135097e-05,1.022416000119918e-05,0.08000859291219369,6.754494324069845e-05,0.5,8
0.000272137145107435,2.6594299504816303e-05,2.9162078301220782e-05,0.0004413862943312969,2.043359717856942e-05,1.0834205359446543e-05,0.08007389844816333,7.158464077566739e-05,0.5,9
0.0002884250319269417,2.8186806636067658e-05,3.090546446665679e-05,0.00046775251157288165,2.2122162910704494e-05,1.1482333997511954e-05,0.08014329403090296,7.586302695997696e-05,0.5,10
0.0003056350091516413,2.9870453468427342e-05,3.275433099241089e-05,0.0004956777987674085,2.3950266199874856e-05,1.2168386855361895e-05,0.08021693788597344,8.040412168828336e-05,0.5,11
0.00032392669921234025,3.165329445266663e-05,3.470761561954058e-05,0.0005253347929756662,2.5929437974046673e-05,1.2894949351215915e-05,0.0802952626762894,8.520182412476095e-05,0.5,12
0.0003432699745507121,3.3544497518300574e-05,3.678229585642814e-05,0.0005567319029960396,2.8072162039411774e-05,1.3665071766793882e-05,0.08037839990149756,9.028504441466388e-05,0.5,13
0.0003637813577478644,3.554800938023036e-05,3.8978988711060044e-05,0.0005899874826595308,3.0391953823131972e-05,1.4482489757195897e-05,0.08046672488384846,9.56879491763315e-05,0.5,14
0.000385533995466142,3.767616885336927e-05,4.130981901582787e-05,0.0006252742482917975,3.290344562312669e-05,1.5347564346948764e-05,0.0805606291204305,0.0001014002631529753,0.5,15
