mass,logt,lum
0.01,5.69521,-2.469
0.01,5.702261,-2.474
0.01,5.709309,-2.479
0.01,5.723397,-2.488
0.01,5.730433,-2.493
0.01,5.744493,-2.503
0.01,5.751519,-2.508
0.01,5.765566,-2.518
0.01,5.772584,-2.523
0.01,5.779597,-2.528
0.01,5.793615,-2.538
0.01,5.800622,-2.543
0.01,5.814632,-2.553
0.01,5.821635,-2.558
0.01,5.835638,-2.568
0.01,5.842639,-2.574
0.01,5.849638,-2.579
0.01,5.863639,-2.589
0.01,5.870643,-2.594
0.01,5.884662,-2.604
0.01,5.891678,-2.61
0.01,5.905728,-2.621
0.01,5.912768,-2.626
0.01,5.919817,-2.632
0.01,5.933952,-2.643
0.01,5.941039,-2.649
0.01,5.955249,-2.66
0.01,5.96237,-2.666
0.01,5.969501,-2.672
0.01,5.983794,-2.683
0.01,5.990957,-2.689
0.01,6.005314,-2.701
0.01,6.012504,-2.706
0.01,6.019702,-2.712
0.01,6.034119,-2.724
0.01,6.041337,-2.73
0.01,6.055795,-2.742
0.01,6.063033,-2.748
0.01,6.070271,-2.754
0.01,6.084773,-2.766
0.01,6.092029,-2.772
0.01,6.099294,-2.778
0.01,6.11384,-2.79
0.01,6.12112,-2.796
0.01,6.135702,-2.808
0.01,6.143005,-2.814
0.01,6.150317,-2.821
0.01,6.164736,-2.833
0.01,6.172074,-2.84
0.01,6.179428,-2.846
0.01,6.194181,-2.86
0.01,6.201583,-2.866
0.01,6.209003,-2.873
0.01,6.22389,-2.886
0.01,6.231363,-2.893
0.01,6.246363,-2.907
0.01,6.253895,-2.914
0.01,6.261444,-2.921
0.01,6.269015,-2.928
0.01,6.284223,-2.942
0.01,6.291861,-2.949
0.01,6.299523,-2.956
0.01,6.31491,-2.97
0.01,6.322637,-2.977
0.01,6.330385,-2.985
0.01,6.345948,-2.999
0.01,6.353762,-3.007
0.01,6.361598,-3.014
0.01,6.369455,-3.022
0.01,6.385234,-3.037
0.01,6.39315,-3.045
0.01,6.401087,-3.052
0.01,6.40904,-3.06
0.01,6.425004,-3.075
0.01,6.433016,-3.083
0.01,6.441049,-3.091
0.01,6.449103,-3.099
0.01,6.465282,-3.115
0.01,6.473408,-3.123
0.01,6.481562,-3.131
0.01,6.489743,-3.139
0.01,6.506198,-3.156
0.01,6.514472,-3.164
0.01,6.522779,-3.172
0.01,6.531121,-3.181
0.01,6.539498,-3.189
0.01,6.55636,-3.207
0.01,6.564862,-3.217
0.01,6.573421,-3.227
0.01,6.582037,-3.236
0.01,6.590713,-3.246
0.01,6.599444,-3.256
0.01,6.617082,-3.277
0.01,6.625987,-3.287
0.01,6.634951,-3.297
0.01,6.643971,-3.308
0.01,6.653048,-3.318
0.01,6.662184,-3.329
0.01,6.671377,-3.34
0.01,6.680627,-3.354
0.01,6.690018,-3.37
0.01,6.699242,-3.386
0.01,6.718837,-3.42
0.01,6.728901,-3.437
0.01,6.739151,-3.455
0.01,6.749593,-3.467
0.01,6.760093,-3.479
0.01,6.770617,-3.49
0.01,6.781146,-3.502
0.01,6.791656,-3.513
0.01,6.802137,-3.525
0.01,6.812598,-3.536
0.01,6.823039,-3.548
0.01,6.833459,-3.559
0.01,6.843869,-3.571
