cname,Teff_reso_bay,Teff_err_reso_bay,logg_reso_bay,logg_err_reso_bay,feh_reso_bay,feh_err_reso_bay,mgfe_reso_bay,mgfe_err_reso_bay,tife_reso_bay,tife_err_reso_bay,mnfe_reso_bay,mnfe_err_reso_bay,mass_wa_bay,mass_err_wa_bay,lum_wa_bay,lum_err_wa_bay,ges_field,GAL_R,GAL_Z,GAL_L,GAL_B,V_R,V_R_ERR,V_PHI,V_PHI_ERR,r_hi_photogeo,r_lo_photogeo,snr,Cat
00000014-6003143,5207.767165025017,5.987921879264105,4.587506843415534,0.0056954328120015,-0.0649772645187205,0.0060431978846111,-0.0027985250363022,0.0099160186964926,0.1315307972168747,0.0123582857097116,-0.0763744693815393,0.0102450300992491,0.8577937776984843,0.0061122302709897,0.4015668000368741,0.0039396140459606,GES_MW_00_01,7876.680440978405,-510.00864698753,314.36636061358223,-55.91777343018186,43.06028290184818,1.3039025612007829,252.73421148733567,1.1258971484435123,648.6629,631.577,60.3416,Thin_disc
00001026-6002519,5239.661164645947,8.344475708755976,4.437911526146056,0.0225164365862582,0.1712045061321716,0.0058772506020783,-0.0072195747270623,0.0118146013032505,0.1144190008683507,0.0122072744084752,-0.0906218294156775,0.0119778058305577,0.881691601906359,0.0087126588300136,0.5974462001570245,0.0261404941669583,GES_MW_00_01,7797.491096595552,-686.2998936737823,314.33512639000327,-55.93102495919948,25.97355176152905,1.8102091520327777,186.2173830369236,1.49912141613429,869.84595,837.84283,51.31,Thin_disc
00003766-5946018,5417.918931774636,11.377324941750748,4.52603789792533,0.0121935615719433,-0.4280013954051873,0.008653260222198,-0.0082005820168991,0.0143520189039312,0.2256470380740614,0.0197255597414989,-0.1940494851071905,0.0176581312637448,0.7758289376657125,0.0079344885671098,0.4902060380877814,0.0086009769494015,GES_MW_00_01,7872.879573980945,-523.93881789338,314.41617780971546,-56.21379202494833,23.167327452455453,1.1111439342945215,260.4809090707924,1.123343393935373,666.1046,643.8726,50.2107,Thin_disc
00005869-5945595,5293.579818500721,13.246604783982118,4.467715652268151,0.014478715338551,-0.084351168789492,0.0068772407020871,0.0688420275114926,0.0109970395437299,0.2202410268185629,0.0125094558884309,-0.1089923411891181,0.0114064164980038,0.8523383508919938,0.0095938878521066,0.5613050121658778,0.009150132662198,GES_MW_00_01,7868.889118101184,-533.9492886344113,314.3422667222644,-56.22986777234674,34.47088170893264,1.1707017227770855,191.734115668742,1.300609152524575,672.3,660.1007,55.701,Thin_disc
00010278-5459031,4959.229546374312,5.2557411869624415,4.56974358100916,0.0028360222130939,-0.1412698360141036,0.0065522048222763,-0.0288060959575265,0.0103233531537573,0.1296946626405744,0.0110183463013222,-0.1201943121322566,0.0105022594497893,0.759647624792063,0.0008121819735797,0.3046663310863589,0.0029211016787818,GES_MW_00_01,7925.752620060068,-459.5986359194496,317.73570552574336,-60.67205924387105,-66.85177730269267,1.149699408436741,220.9607576608709,0.9554920242386316,556.63586,543.9727,52.8273,Thin_disc
00032198-0105440,5373.105761155995,10.796795680007666,4.491787771822611,0.0142574985729833,-0.202275974706894,0.007042505484395,-0.0133511470461121,0.0125105479740829,0.1304885040312479,0.0158554416751814,-0.0582425957728243,0.012161687877918,0.8159090817893402,0.0076123255856378,0.5396828972020463,0.0129507991895143,GES_MW_00_01,8184.665035348692,-739.0211354705533,97.0405283495346,-61.5269065380362,13.75238381658042,1.4180428630892423,237.1983789736153,1.3610073667354512,897.80554,842.6293,52.8851,Thin_disc
00033696-0058303,5351.073209461789,9.633299294373526,3.877194160323113,0.0216800322195272,-0.371718473155227,0.0064884465519913,0.2314240555394562,0.011556578760365,0.3634058048907543,0.0118463105636467,-0.1665973635170188,0.0122150777183912,0.967259301393902,0.0222660399714905,2.596472967903245,0.1879381301754882,GES_MW_00_01,8296.826480627202,-1699.026216017658,97.25875089173668,-61.43999147904108,-25.670514957872864,2.594414728640082,99.94550875735344,11.708879082625312,2091.4167,1827.6865,66.2076,Halo
00034381-0105006,5103.074095163297,10.16127352961958,3.4269346622325134,0.0257091536639456,-0.5964714044773562,0.0076342229971694,0.2939261304592702,0.0144900984194988,0.3879077179780911,0.0139449725807897,-0.252009524998839,0.0152639130692382,1.0028755253367927,0.0273399535998439,6.282391420341893,0.500396709699732,GES_MW_00_01,8415.012270622314,-2530.9525058768068,97.22625640553834,-61.551023288545,53.554242565546254,7.466976860853831,238.0572536685846,8.526106987796265,3245.4617,2643.9822,56.9546,Thick_disc
00034777-0104209,5581.79628661151,7.357753553128261,4.4156792648875305,0.0109315935982883,-0.1935840083874334,0.0061690535867375,0.0007426669177687,0.0115216365834568,0.1366033062035268,0.0140707803207649,-0.1388229712434732,0.0120027179764109,0.8590345707423442,0.0012782429748698,0.7886579586723099,0.0230122803428209,GES_MW_00_01,8208.709201680327,-960.2731366860309,97.26713439537149,-61.54721410089162,-57.54318955260502,2.7509892907092466,225.4374279561203,1.4739830732233723,1162.2742,1058.6146,64.9191,Thin_disc
00040296-0058469,4808.570311886859,0.0016448522568183,4.537902999952129,1.080265632814794e-06,-0.6155500216656042,0.0057142497819417,0.0858133782023441,0.008276091218969,0.3448813272067269,0.0112792117434244,-0.1359679462746116,0.0103875277081912,0.6999969999879376,4.911675897122054e-07,0.2669438993003944,5.270909538299849e-07,GES_MW_00_01,8168.325207361744,-537.2040138017273,97.46437667866074,-61.4858634783113,21.993661394398902,1.178218959721055,213.936318317494,1.9367478761488817,649.87006,619.5518,58.8914,Thin_disc
